"","named_location","location","State","latitude","longitude","Year","planting_doy","harvest_doy","min_flow_50_doy","max_flow_50_doy","mu","sd","fp","fst","N","h","badfit","ofs","outside_data","mu_025","mu_975","mu_16","mu_84","AIC_gau","AIC_lm","mod_for_cens","beta1_lm","y2","y3","opt_relation_to_data","cens","y_na","county_state"
"39","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2006",152,296,202,214,210.535178405843,14.689230530491,37.6500127659927,191.710172022847,89821.9615896069,2439.45917468625,FALSE,116.032140068085,"in_range",208.541611426385,226.931151773708,209.300307254488,213.141611483344,1538.1962,1538.5678,"gauss",0.0111,209.300307254488,213.141611483344,"opt_within","interval",210.535178405843,"Foster_ND"
"40","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2007",154,318.56,210,224,219.396453245704,15.4350804063435,39.5617029181126,199.615601786648,99683.8095378603,2576.47419055826,FALSE,122.350073889265,"in_range",217.444305896416,224.839490823575,218.486633511489,220.684778412381,1361.2077,1362.6346,"gauss",0.0045,218.486633511489,220.684778412381,"opt_within","interval",219.396453245704,"Foster_ND"
"41","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2008",141,302,216,231,224.911615833315,13.7653047062554,35.2818955930002,207.270668036815,66955.5311858871,1940.48681571488,FALSE,107.126933556824,"in_range",222.668645842249,237.930302877986,223.60988764872,227.457256526594,1169.3025,1174.1432,"gauss",0.0138,223.60988764872,227.457256526594,"opt_within","interval",224.911615833315,"Foster_ND"
"42","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2009",147,320,222,230,225.629990215277,4.98231503226193,12.7701872592633,219.244896585646,16048.0778067396,1284.99637514366,FALSE,37.7040091131751,"in_range",223.086443852596,226.421313848547,224.921325899457,226.061555546495,1063.261,1065.8554,"gauss",-0.0307,224.921325899457,226.061555546495,"opt_within","interval",225.629990215277,"Foster_ND"
"43","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2010",140,294,208,216,211.235418637433,4.19624200553836,10.7554010232034,205.857718125831,12494.7679692357,1187.89412530419,FALSE,31.5805892062298,"in_range",209.538618343114,211.878874380391,210.64349200565,211.594293482193,1091.6056,1097.3235,"gauss",-0.05,210.64349200565,211.594293482193,"opt_within","interval",211.235418637433,"Foster_ND"
"44","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2012",158,286,217,229,215.687820225762,19.4106230576068,49.7514287353442,190.812105858089,110589.617127014,2272.92415675872,FALSE,152.630432520171,"less_than",161.052407436311,221.820967716142,209.658874423155,220.658100071611,794.2213,792.6064,"gauss",-0.0186,198,220.658100071611,"opt_before","interval",215.687820225762,"Foster_ND"
"45","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2013",157,298,221,230,232.2048913214,21.9527736331751,56.2672228352836,204.071279903758,93016.9661466763,1690.3741281466,FALSE,169.280855627727,"greater_than",222.769071373953,260.941407989027,225.541793641339,231.370956534003,625.8539,623.9198,"gauss",0.0137,225.541793641339,263,"opt_after","interval",232.2048913214,"Foster_ND"
"46","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2014",154,300,220,229,223.459470225448,13.0508528272789,33.4506817449829,206.734129352957,71456.0398224917,2184.28909225422,FALSE,102.357602909181,"in_range",212.051899297636,228.876720935476,221.876059399791,224.87529179706,488.5508,487.2631,"gauss",-0.0043,221.876059399791,224.87529179706,"opt_within","interval",223.459470225448,"Foster_ND"
"47","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2015",154,307,216,224,221.518480339771,14.9158324447833,38.230816842026,202.403071918758,63832.7710598752,1707.28595572788,FALSE,115.095034158917,"in_range",216.327444570509,235.185607950812,219.526626330697,222.869735261145,688.7182,686.8532,"gauss",0.0066,219.526626330697,222.869735261145,"opt_within","interval",221.518480339771,"Foster_ND"
"48","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2016",148,314,205,220,225.100327672614,17.6841210440593,45.326226018589,202.437214663319,84537.1695568917,1907.10361672394,FALSE,137.466861192384,"greater_than",216.327966149187,336.099375397263,218.063412339519,234.812200074951,560.2768,559.1284,"gauss",0.0331,218.063412339519,279,"opt_after","interval",225.100327672614,"Foster_ND"
"49","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2017",145,306,209,223,216.754166701971,28.9382987956883,74.1718442516237,179.668244576159,153582.661219461,2117.2846935336,FALSE,226.502262551161,"in_range",203.370741743603,241.495097216017,213.453730115764,219.324269288452,784.4183,782.4992,"gauss",0.0016,213.453730115764,219.324269288452,"opt_within","interval",216.754166701971,"Foster_ND"
"50","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2018",156,292,206,221,216.022485090855,9.07387280717944,23.2572718031868,204.393849189261,34712.8221303155,1526.18542425239,FALSE,69.4872734544791,"in_range",211.937793475988,219.344984822412,214.683574588705,217.279173248638,670.8849,685.8423,"gauss",0.008,214.683574588705,217.279173248638,"opt_within","interval",216.022485090855,"Foster_ND"
"51","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2020",153,280,206,221,189.947890324766,61.808768335485,158.422247649449,110.736766500042,295330.365345153,1906.19830479524,FALSE,480.453073895108,"less_than",154.907022953756,225.789928122087,204.190647672624,215.812942535201,626.2523,624.2619,"gauss",-0.0065,193,215.812942535201,"opt_before","interval",189.947890324766,"Foster_ND"
"52","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2021",146,292,206,217,232.445262670055,21.9533101856233,56.2685980745434,204.310963632783,81330.0615083288,1477.95480175785,FALSE,167.74874131766,"greater_than",213.247511166527,307.300553618303,214.530185333906,227.342525926835,623.4453,621.5375,"gauss",0.0407,214.530185333906,257,"opt_after","interval",232.445262670055,"Foster_ND"
"53","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2022",157,292,217,226,219.295121093947,NA,NA,NA,NA,1942.79644974215,TRUE,0,"in_range",NA,NA,NA,NA,613.0956,611.8912,"exclude",0.0246,NA,NA,"unclear","interval",NA,"Foster_ND"
"54","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2023",150,319,214,219,216.021473073089,7.2336482164261,18.5405863927195,206.751179876729,47390.5225485974,2613.63043505797,FALSE,57.3915862687966,"in_range",213.889903061411,222.12581570801,215.363202165289,216.914961996217,735.5918,733.8775,"gauss",0.0067,215.363202165289,216.914961996217,"opt_within","interval",216.021473073089,"Foster_ND"
"55","Casselton_ASF","Casselton_Sunwheat-full","ND",46.8871,-97.2305,"1987",148,286.681589255736,199,212,219.35643134042,33.7100875448334,86.4024309354536,176.155215872693,269953.602933931,3194.76791075707,FALSE,270.845728093009,"greater_than",203.638816984817,245.80062180124,205.890421870268,212.708925215306,54.3288,52.5023,"gauss",0.0121,205.890421870268,251.681589255736,"opt_after","interval",219.35643134042,"Cass_ND"
